GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
bizagi-web,co.com.santander.bizagi.dto,ResponsePayLoad.ResponsePayLoadBuilder,50,0,0,0,1,0,6,0,6,0
bizagi-web,co.com.santander.bizagi.dto,Processes,86,0,14,0,4,0,14,0,7,0
bizagi-web,co.com.santander.bizagi.dto,ResponseJson,86,0,14,0,4,0,14,0,7,0
bizagi-web,co.com.santander.bizagi.dto,BizAgiWSParam,166,16,30,0,4,1,25,2,10,2
bizagi-web,co.com.santander.bizagi.dto,Cliente,2813,241,426,0,79,1,373,2,160,2
bizagi-web,co.com.santander.bizagi.dto,Cliente.ClienteBuilder,757,193,0,0,0,1,73,8,73,8
bizagi-web,co.com.santander.bizagi.dto,Case.CaseBuilder,17,21,0,0,0,1,1,4,1,4
bizagi-web,co.com.santander.bizagi.dto,SolicitudCredito,123,13,22,0,3,1,19,2,8,2
bizagi-web,co.com.santander.bizagi.dto,Case,123,13,22,0,3,1,19,2,8,2
bizagi-web,co.com.santander.bizagi.dto,Process,86,0,14,0,4,0,14,0,7,0
bizagi-web,co.com.santander.bizagi.dto,ResponsePayLoad,185,0,30,0,7,0,28,0,13,0
bizagi-web,co.com.santander.bizagi.dto,SolicitudCredito.SolicitudCreditoBuilder,17,21,0,0,0,1,1,4,1,4
bizagi-web,co.com.santander.bizagi.dto,BizAgiWSParam.BizAgiWSParamBuilder,22,28,0,0,0,1,1,5,1,5
bizagi-web,co.com.santander.bizagi.dto,RequestCreateCaseDTO,298,0,54,0,7,0,44,0,17,0
bizagi-web,co.com.santander.bizagi.common.properties,SystemProperties,0,3,0,0,0,1,0,1,0,1
bizagi-web,co.com.santander.bizagi.common.properties,ServiciosProperties,7,66,0,0,1,11,2,19,2,19
bizagi-web,co.com.santander.bizagi.client.impl,CaseBizagiClientImpl,0,25,0,0,0,7,0,3,0,3
bizagi-web,co.com.santander.bizagi.common.generic,GenericResponse,4,181,2,28,0,7,2,26,0,13
bizagi-web,co.com.santander.bizagi.common.generic,GenericResponse.GenericResponseBuilder,22,28,0,0,0,1,1,5,1,5
bizagi-web,co.com.santander.bizagi.common.generic,GeneralPayload,4,135,2,20,0,6,2,20,0,11
bizagi-web,co.com.santander.bizagi.common.generic,GeneralPayload.GeneralPayloadBuilder,22,16,0,0,0,1,2,3,2,3
bizagi-web,co.com.santander.bizagi.common.generic,RequestHeader,4,365,2,60,0,11,2,50,0,21
bizagi-web,co.com.santander.bizagi.common.generic,RequestHeader.RequestHeaderBuilder,0,98,0,0,0,1,0,10,0,10
bizagi-web,co.com.santander.bizagi.service.impl,CaseBizagiServiceImpl,821,85,6,0,122,21,6,5,3,5
bizagi-web,co.com.santander.bizagi.common.handler,ValidatorHandler,46,0,0,0,19,0,6,0,6,0
bizagi-web,org.tempuri,RollbackCase.CaseInfo,14,0,2,0,4,0,3,0,2,0
bizagi-web,org.tempuri,GetCategories.Application,14,0,2,0,4,0,3,0,2,0
bizagi-web,org.tempuri,GetWorkflowClasses2Response,10,0,0,0,4,0,3,0,3,0
bizagi-web,org.tempuri,CreateCasesAsString,10,0,0,0,4,0,3,0,3,0
bizagi-web,org.tempuri,GetApplicationsResponse,10,0,0,0,4,0,3,0,3,0
bizagi-web,org.tempuri,GetClosedActivities,10,0,0,0,4,0,3,0,3,0
bizagi-web,org.tempuri,CheckPassword,24,0,0,0,10,0,7,0,7,0
bizagi-web,org.tempuri,SaveActivityResponse.SaveActivityResult,14,0,2,0,4,0,3,0,2,0
bizagi-web,org.tempuri,AbortCases.CasesInfo,14,0,2,0,4,0,3,0,2,0
bizagi-web,org.tempuri,GetWorkflowClasses2,10,0,0,0,4,0,3,0,3,0
bizagi-web,org.tempuri,SaveActivityResponse,10,0,0,0,4,0,3,0,3,0
bizagi-web,org.tempuri,GetCasesResponse.GetCasesResult,14,0,2,0,4,0,3,0,2,0
bizagi-web,org.tempuri,GetClosedActivitiesAsString,10,0,0,0,4,0,3,0,3,0
bizagi-web,org.tempuri,GetWorkflowClasses,10,0,0,0,4,0,3,0,3,0
bizagi-web,org.tempuri,GetCasesAsStringResponse,10,0,0,0,4,0,3,0,3,0
bizagi-web,org.tempuri,RollbackCaseResponse.RollbackCaseResult,14,0,2,0,4,0,3,0,2,0
bizagi-web,org.tempuri,GetCategoriesLocalizedResponse,10,0,0,0,4,0,3,0,3,0
bizagi-web,org.tempuri,CleanTestData,10,0,0,0,4,0,3,0,3,0
bizagi-web,org.tempuri,GetEventsAsString,10,0,0,0,4,0,3,0,3,0
bizagi-web,org.tempuri,GetClosedActivitiesResponse.GetClosedActivitiesResult,14,0,2,0,4,0,3,0,2,0
bizagi-web,org.tempuri,GetCategoriesFromApplicationNameResponse,10,0,0,0,4,0,3,0,3,0
bizagi-web,org.tempuri,PerformActivityResponse.PerformActivityResult,14,0,2,0,4,0,3,0,2,0
bizagi-web,org.tempuri,SetEventResponse.SetEventResult,14,0,2,0,4,0,3,0,2,0
bizagi-web,org.tempuri,GetCategoriesAsString,10,0,0,0,4,0,3,0,3,0
bizagi-web,org.tempuri,GetApplications,3,0,0,0,1,0,1,0,1,0
bizagi-web,org.tempuri,SuspendCases,10,0,0,0,4,0,3,0,3,0
bizagi-web,org.tempuri,GetActivities.ActivitiesFilters,14,0,2,0,4,0,3,0,2,0
bizagi-web,org.tempuri,GetCategoriesLocalizedResponse.GetCategoriesLocalizedResult,14,0,2,0,4,0,3,0,2,0
bizagi-web,org.tempuri,WorkflowEngineSOA,66,21,2,0,19,8,10,1,9,1
bizagi-web,org.tempuri,PerformActivityAsStringResponse,10,0,0,0,4,0,3,0,3,0
bizagi-web,org.tempuri,CleanTestDataResponse.CleanTestDataResult,14,0,2,0,4,0,3,0,2,0
bizagi-web,org.tempuri,SuspendCasesAsString,10,0,0,0,4,0,3,0,3,0
bizagi-web,org.tempuri,SetEvent.EventInfo,14,0,2,0,4,0,3,0,2,0
bizagi-web,org.tempuri,AssignActivityAsStringResponse,10,0,0,0,4,0,3,0,3,0
bizagi-web,org.tempuri,GetWorkflowClasses.Category,14,0,2,0,4,0,3,0,2,0
bizagi-web,org.tempuri,PerformActivity,10,0,0,0,4,0,3,0,3,0
bizagi-web,org.tempuri,PerformActivityAsString,10,0,0,0,4,0,3,0,3,0
bizagi-web,org.tempuri,CreateCasesAsStringResponse,10,0,0,0,4,0,3,0,3,0
bizagi-web,org.tempuri,GetActivitiesAsString,10,0,0,0,4,0,3,0,3,0
bizagi-web,org.tempuri,SetEventResponse,10,0,0,0,4,0,3,0,3,0
bizagi-web,org.tempuri,ResumeCasesResponse.ResumeCasesResult,14,0,2,0,4,0,3,0,2,0
bizagi-web,org.tempuri,SetEventAsStringResponse,10,0,0,0,4,0,3,0,3,0
bizagi-web,org.tempuri,CleanTestDataResponse,10,0,0,0,4,0,3,0,3,0
bizagi-web,org.tempuri,GetWorkflowClassesResponse.GetWorkflowClassesResult,14,0,2,0,4,0,3,0,2,0
bizagi-web,org.tempuri,GetCategoriesAsStringResponse,10,0,0,0,4,0,3,0,3,0
bizagi-web,org.tempuri,GetAssignationLogAsString,10,0,0,0,4,0,3,0,3,0
bizagi-web,org.tempuri,GetWorkflowClassesAsStringResponse,10,0,0,0,4,0,3,0,3,0
bizagi-web,org.tempuri,ResumeCasesResponse,10,0,0,0,4,0,3,0,3,0
bizagi-web,org.tempuri,GetApplicationsResponse.GetApplicationsResult,14,0,2,0,4,0,3,0,2,0
bizagi-web,org.tempuri,AssignActivityResponse.AssignActivityResult,14,0,2,0,4,0,3,0,2,0
bizagi-web,org.tempuri,GetEventsResponse.GetEventsResult,14,0,2,0,4,0,3,0,2,0
bizagi-web,org.tempuri,RevokeCaseAccess,10,0,0,0,4,0,3,0,3,0
bizagi-web,org.tempuri,AssignActivityAsString,10,0,0,0,4,0,3,0,3,0
bizagi-web,org.tempuri,GetCases.CasesFilters,14,0,2,0,4,0,3,0,2,0
bizagi-web,org.tempuri,EvalRuleResponse.EvalRuleResult,14,0,2,0,4,0,3,0,2,0
bizagi-web,org.tempuri,RollbackCase,10,0,0,0,4,0,3,0,3,0
bizagi-web,org.tempuri,PerformActivityResponse,10,0,0,0,4,0,3,0,3,0
bizagi-web,org.tempuri,RollbackCaseResponse,10,0,0,0,4,0,3,0,3,0
bizagi-web,org.tempuri,SuspendCasesAsStringResponse,10,0,0,0,4,0,3,0,3,0
bizagi-web,org.tempuri,SuspendCasesResponse.SuspendCasesResult,14,0,2,0,4,0,3,0,2,0
bizagi-web,org.tempuri,SetEventAsString,10,0,0,0,4,0,3,0,3,0
bizagi-web,org.tempuri,ResumeCases,10,0,0,0,4,0,3,0,3,0
bizagi-web,org.tempuri,GetClosedActivities.CaseInfo,14,0,2,0,4,0,3,0,2,0
bizagi-web,org.tempuri,GetClosedActivitiesResponse,10,0,0,0,4,0,3,0,3,0
bizagi-web,org.tempuri,AbortCases,10,0,0,0,4,0,3,0,3,0
bizagi-web,org.tempuri,CreateCases,10,0,0,0,4,0,3,0,3,0
bizagi-web,org.tempuri,GetCategories,10,0,0,0,4,0,3,0,3,0
bizagi-web,org.tempuri,GetCategoriesLocalized,17,0,0,0,7,0,5,0,5,0
bizagi-web,org.tempuri,ResumeCasesAsString,10,0,0,0,4,0,3,0,3,0
bizagi-web,org.tempuri,GetActivitiesAsStringResponse,10,0,0,0,4,0,3,0,3,0
bizagi-web,org.tempuri,GetAssignationLogResponse.GetAssignationLogResult,14,0,2,0,4,0,3,0,2,0
bizagi-web,org.tempuri,SetEvent,10,0,0,0,4,0,3,0,3,0
bizagi-web,org.tempuri,GetCategories2Response,10,0,0,0,4,0,3,0,3,0
bizagi-web,org.tempuri,AbortCasesResponse,10,0,0,0,4,0,3,0,3,0
bizagi-web,org.tempuri,GetCategoriesFromApplicationName,10,0,0,0,4,0,3,0,3,0
bizagi-web,org.tempuri,GetEvents.ActivitiesFilters,14,0,2,0,4,0,3,0,2,0
bizagi-web,org.tempuri,AssignActivity,10,0,0,0,4,0,3,0,3,0
bizagi-web,org.tempuri,GetCategoriesResponse,10,0,0,0,4,0,3,0,3,0
bizagi-web,org.tempuri,CleanTestData.CaseInfo,14,0,2,0,4,0,3,0,2,0
bizagi-web,org.tempuri,CreateCases.CasesInfo,11,7,2,0,3,3,2,2,1,2
bizagi-web,org.tempuri,ResumeCases.Cases,14,0,2,0,4,0,3,0,2,0
bizagi-web,org.tempuri,GetCategoriesResponse.GetCategoriesResult,14,0,2,0,4,0,3,0,2,0
bizagi-web,org.tempuri,ResumeCasesAsStringResponse,10,0,0,0,4,0,3,0,3,0
bizagi-web,org.tempuri,SaveActivity.ActivityInfo,14,0,2,0,4,0,3,0,2,0
bizagi-web,org.tempuri,GetEventsResponse,10,0,0,0,4,0,3,0,3,0
bizagi-web,org.tempuri,GetCases,10,0,0,0,4,0,3,0,3,0
bizagi-web,org.tempuri,GetActivitiesResponse,10,0,0,0,4,0,3,0,3,0
bizagi-web,org.tempuri,GetAssignationLogAsStringResponse,10,0,0,0,4,0,3,0,3,0
bizagi-web,org.tempuri,GetAssignationLogResponse,10,0,0,0,4,0,3,0,3,0
bizagi-web,org.tempuri,GrantCaseAccess,10,0,0,0,4,0,3,0,3,0
bizagi-web,org.tempuri,GetEventsAsStringResponse,10,0,0,0,4,0,3,0,3,0
bizagi-web,org.tempuri,GrantCaseAccessResponse,10,0,0,0,4,0,3,0,3,0
bizagi-web,org.tempuri,ObjectFactory,544,0,0,0,134,0,132,0,132,0
bizagi-web,org.tempuri,GetWorkflowClassesAsString,10,0,0,0,4,0,3,0,3,0
bizagi-web,org.tempuri,GetCategories2Response.GetCategories2Result,14,0,2,0,4,0,3,0,2,0
bizagi-web,org.tempuri,GetWorkflowClasses2Response.GetWorkflowClasses2Result,14,0,2,0,4,0,3,0,2,0
bizagi-web,org.tempuri,GetActivitiesResponse.GetActivitiesResult,14,0,2,0,4,0,3,0,2,0
bizagi-web,org.tempuri,GetAssignationLog.CaseInfo,14,0,2,0,4,0,3,0,2,0
bizagi-web,org.tempuri,AbortCasesResponse.AbortCasesResult,14,0,2,0,4,0,3,0,2,0
bizagi-web,org.tempuri,AssignActivityResponse,10,0,0,0,4,0,3,0,3,0
bizagi-web,org.tempuri,SaveActivityAsStringResponse,10,0,0,0,4,0,3,0,3,0
bizagi-web,org.tempuri,EvalRule.AssertionInfo,14,0,2,0,4,0,3,0,2,0
bizagi-web,org.tempuri,GetAssignationLog,10,0,0,0,4,0,3,0,3,0
bizagi-web,org.tempuri,EvalRule,10,0,0,0,4,0,3,0,3,0
bizagi-web,org.tempuri,GetEvents,10,0,0,0,4,0,3,0,3,0
bizagi-web,org.tempuri,GetWorkflowClassesFromCategoryName,10,0,0,0,4,0,3,0,3,0
bizagi-web,org.tempuri,CheckPasswordResponse,10,0,0,0,4,0,3,0,3,0
bizagi-web,org.tempuri,GetWorkflowClassesResponse,10,0,0,0,4,0,3,0,3,0
bizagi-web,org.tempuri,SuspendCasesResponse,10,0,0,0,4,0,3,0,3,0
bizagi-web,org.tempuri,CreateCasesResponse.CreateCasesResult,15,3,2,0,5,1,3,1,2,1
bizagi-web,org.tempuri,GetActivities,10,0,0,0,4,0,3,0,3,0
bizagi-web,org.tempuri,GetClosedActivitiesAsStringResponse,10,0,0,0,4,0,3,0,3,0
bizagi-web,org.tempuri,PingResponse,10,0,0,0,4,0,3,0,3,0
bizagi-web,org.tempuri,GetCategoriesFromApplicationNameResponse.GetCategoriesFromApplicationNameResult,14,0,2,0,4,0,3,0,2,0
bizagi-web,org.tempuri,GetWorkflowClassesFromCategoryNameResponse.GetWorkflowClassesFromCategoryNameResult,14,0,2,0,4,0,3,0,2,0
bizagi-web,org.tempuri,AbortCasesAsStringResponse,10,0,0,0,4,0,3,0,3,0
bizagi-web,org.tempuri,GetCasesResponse,10,0,0,0,4,0,3,0,3,0
bizagi-web,org.tempuri,RevokeCaseAccessResponse,10,0,0,0,4,0,3,0,3,0
bizagi-web,org.tempuri,EvalRuleResponse,10,0,0,0,4,0,3,0,3,0
bizagi-web,org.tempuri,AbortCasesAsString,10,0,0,0,4,0,3,0,3,0
bizagi-web,org.tempuri,CreateCasesResponse,10,0,0,0,4,0,3,0,3,0
bizagi-web,org.tempuri,SaveActivity,10,0,0,0,4,0,3,0,3,0
bizagi-web,org.tempuri,AssignActivity.XmlDoc,14,0,2,0,4,0,3,0,2,0
bizagi-web,org.tempuri,GetCategories2,10,0,0,0,4,0,3,0,3,0
bizagi-web,org.tempuri,GetWorkflowClassesFromCategoryNameResponse,10,0,0,0,4,0,3,0,3,0
bizagi-web,org.tempuri,SaveActivityAsString,10,0,0,0,4,0,3,0,3,0
bizagi-web,org.tempuri,PerformActivity.ActivityInfo,14,0,2,0,4,0,3,0,2,0
bizagi-web,org.tempuri,SuspendCases.Cases,14,0,2,0,4,0,3,0,2,0
bizagi-web,org.tempuri,Ping,10,0,0,0,4,0,3,0,3,0
bizagi-web,org.tempuri,GetCasesAsString,10,0,0,0,4,0,3,0,3,0
bizagi-web,co.com.santander,BizagiApplication,9,0,0,0,3,0,2,0,2,0
bizagi-web,co.com.santander.bizagi.common.config,SwaggerConfig,15,0,0,0,5,0,2,0,2,0
bizagi-web,co.com.santander.bizagi.common.config,GeneralConfig,16,0,0,0,4,0,2,0,2,0
bizagi-web,co.com.santander.bizagi.common.config,VelocityConfig,24,0,0,0,8,0,3,0,3,0
bizagi-web,co.com.santander.bizagi.controller,CaseBizagiController,48,13,2,0,6,4,2,2,1,2
bizagi-web,co.com.santander.bizagi.util,MessageApi,53,0,0,0,4,0,2,0,2,0
bizagi-web,co.com.santander.bizagi.util,ConstanstsExamplesApi,3,0,0,0,1,0,1,0,1,0
bizagi-web,co.com.santander.bizagi.util,MessageApi.Constants,3,0,0,0,1,0,1,0,1,0
bizagi-web,co.com.santander.bizagi.util,StringUtilities,34,3,0,0,8,1,4,1,4,1
